AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering,Regenerative Medicine
,,,,,,,,,Madrigal A.(6603778666)
,,,,,,,,,Snowden J.A.(7005452706)
,,,,,,,,,Skinner R.(7202587597)
,,,,,,,,,Greenfield D.(12647138100)
,,,,,,,,,De Silva T.I.(24334850600)
,,,,,,,,,Peggs K.(35416735200)
,,,,,,,,,Peniket A.(55880762100)
,,,,,,,,,Anthias C.(56020759700)
,,,,,,,,,Hamblin A.(56938282500)
,,,,,,,,,Miller P.D.E.(57193114488)
,,,,,,,,,Noseda M.(6701426579)
,,,,,,,,,Stevens M.M.(7402243195)
,,,,,,,,,Schneider M.D.(7404064103)
,,,,,,,,,Stuckey D.J.(14820025000)
,,,,,,,,,Abreu Paiva M.(23035976900)
,,,,,,,,,Chow L.W.(23099047000)
,,,,,,,,,Jackson L.H.(56609734100)
,,,,,,,,,Speidel A.T.(57190893015)
,,,,,,,,,Garcia-Manteiga J.(6506031643)
,,,,,,,,,Gentner B.(6507111312)
,,,,,,,,,Boccalatte F.(6507876833)
,,,,,,,,,Lechman E.R.(6602536962)
,,,,,,,,,Montini E.(7003421057)
,,,,,,,,,Naldini L.(7005494915)
,,,,,,,,,Ponzoni M.(7006558786)
,,,,,,,,,Plati T.(8408477700)
,,,,,,,,,Benedicenti F.(8505232000)
,,,,,,,,,Cittaro D.(8524763800)
,,,,,,,,,Giustacchini A.(25936219700)
,,,,,,,,,Dick J.E.(26643471500)
,,,,,,,,,Calabria A.(35097150900)
,,,,,,,,,Ranghetti A.(35311748000)
,,,,,,,,,Nucera S.(44161433100)
,,,,,,,,,Fanciullo C.(57190386264)
,,,,,,,,,Ciceri F.(57219034470)
,,,,,,,,,Oliani S.M.(6603399982)
,,,,,,,,,Ansari T.(7003597902)
,,,,,,,,,Mimura K.K.O.(55279696000)
,,,,,,,,,Miranda A.C.(55444895800)
,,,,,,,,,Greco K.V.(57062516200)
,,,,,,,,,Moraes A.R.(57191540732)
,,,,,,,,,Greco R.(57191541806)
,,,,,,,,,Sibbons P.(57203614283)
,,,,,,,,,Farid S.S.(7005343335)
,,,,,,,,,Smith D.(7410359398)
,,,,,,,,,Chen A.(35204639100)
,,,,,,,,,Tan K.Y.(37001421100)
,,,,,,,,,Carmen J.(55829144200)
,,,,,,,,,Fitzpatrick I.(55888884800)
,,,,,,,,,Lipsitz Y.Y.(56711905800)
,,,,,,,,,Milligan W.D.(57190295853)
,,,,,,,,,Mooney C.(57195671483)
,,,,,,,,,Fink J.(57195681849)
,,,,,,,,,Stalmeijer E.(57195685094)
,,,,,,,,,Perry R.(57212688360)
,,,,,,,,,Sharpe P.T.(55630518500)
,,,,,,,,,An Z.(56402581700)
,,,,,,,,,Sabalic M.(57200387531)
,,,,,,,,,Akily B.(57202190780)
,,,,,,,,,Zong G.(57202195016)
,,,,,,,,,Chai Y.(57203424922)
,,,,,,,,,Martinez-Barbera J.(6603565499)
,,,,,,,,,Schambach A.(6507714915)
,,,,,,,,,Biasco L.(36963939500)
,,,,,,,,,Schott J.W.(53878493700)
,,,,,,,,,Rothe M.(56661903100)
,,,,,,,,,Hilborn J.(7005673313)
,,,,,,,,,Larsson S.(7202350241)
,,,,,,,,,Varghese O.P.(11839717200)
,,,,,,,,,Casalini T.(35298369700)
,,,,,,,,,Salvalaglio M.(35741835600)
,,,,,,,,,Hulsart-Billström G.(37461409500)
,,,,,,,,,Yan H.J.(54943791600)
,,,,,,,,,Wang S.(55622182900)
,,,,,,,,,Oommen O.P.(56567843600)
,,,,,,,,,Flake A.(7005368111)
,,,,,,,,,MacKenzie T.(7005444129)
,,,,,,,,,David A.(7402605276)
,,,,,,,,,Almeida-Porada G.(35550521300)
,,,,,,,,,De Boni L.(39061254700)
,,,,,,,,,Wüllner U.(57203104223)
,,,,,,,,,Gamm D.M.(6603433349)
,,,,,,,,,Bainbridge J.W.B.(7005169657)
,,,,,,,,,Ali R.R.(7201812544)
,,,,,,,,,Wallace K.(8788649000)
,,,,,,,,,Lakowski J.(16679309900)
,,,,,,,,,Di Foggia V.(25648892000)
,,,,,,,,,Sowden J.C.(35556156400)
,,,,,,,,,Di Marco F.(56239261700)
,,,,,,,,,Welby E.(56667694600)
,,,,,,,,,Budinger D.(57197745689)
